period,Coal,Hydro,Natural Gas,Nuclear,Other,Petroleum,Solar,Wind
2024-06-18T23,173,1824,8401,2276,-1038,88,17051,1120
2024-06-19T00,174,2416,8607,2277,-573,88,16343,1988
2024-06-19T01,175,3258,9176,2276,-390,88,14728,2830
2024-06-19T02,176,4258,9287,2276,442,88,12848,3395
2024-06-19T03,177,5633,11059,2277,1484,88,7886,3459
2024-06-19T04,177,5769,11455,2278,5574,88,1741,3945
2024-06-19T05,176,5780,11633,2277,5908,88,-31,4340
2024-06-19T06,174,5839,10703,2277,5807,88,-53,4270
2024-06-19T07,174,5289,10076,2275,4034,86,-50,4461
2024-06-19T08,174,5069,9916,2277,1028,86,-50,4955
